site_no,sample_datetime,qualifier_flag,value,sdl,mdl,variable_code,unit,variable,variable_fr,qa_status,sample_id
BC08NL0001,2000-03-07 14:25:00,<,2.0,2.0,,1094,CFU/100ML,FECAL COLIFORMS,COLIFORMES FÉCAUX,P,00PY001168
BC08NL0001,2000-03-07 14:25:00,<,0.0002,0.0002,,100228,MG/L,LEAD TOTAL,PLOMB TOTAL,P,00PY001168
BC08NL0001,2000-03-07 14:25:00,nan,167.0,2.0,,2041,µS/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,V,00PY001168
BC08NL0001,2000-03-07 14:25:00,nan,2.0,,,1125,DEG C,TEMPERATURE (WATER),TEMPÉRATURE (EAU),P,00PY001168
BC08NL0001,2000-03-07 14:25:00,nan,0.68,0.05,,2074,NTU,TURBIDITY,TURBIDITÉ,V,00PY001168
BC08NL0001,2000-03-21 08:55:00,nan,0.0003,0.0001,,100250,MG/L,ARSENIC TOTAL,ARSENIC TOTAL,P,00PY001407
BC08NL0001,2000-03-21 08:55:00,<,2.0,2.0,,1094,CFU/100ML,FECAL COLIFORMS,COLIFORMES FÉCAUX,P,00PY001407
BC08NL0001,2000-03-21 08:55:00,<,0.0002,0.0002,,100228,MG/L,LEAD TOTAL,PLOMB TOTAL,P,00PY001407
BC08NL0001,2000-03-21 08:55:00,nan,179.0,2.0,,2041,µS/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,V,00PY001407
BC08NL0001,2000-03-21 08:55:00,nan,1.0,,,1125,DEG C,TEMPERATURE (WATER),TEMPÉRATURE (EAU),P,00PY001407
BC08NL0001,2000-03-21 08:55:00,nan,1.3,0.05,,2074,NTU,TURBIDITY,TURBIDITÉ,V,00PY001407
BC08NL0001,2000-04-04 12:15:00,nan,0.0003,0.0001,,100250,MG/L,ARSENIC TOTAL,ARSENIC TOTAL,P,00PY001730
BC08NL0001,2000-04-04 12:15:00,<,1.0,1.0,,1094,CFU/100ML,FECAL COLIFORMS,COLIFORMES FÉCAUX,P,00PY001730
BC08NL0001,2000-04-04 12:15:00,nan,0.0009,0.0002,,100228,MG/L,LEAD TOTAL,PLOMB TOTAL,P,00PY001730
BC08NL0001,2000-04-04 12:15:00,nan,146.0,2.0,,2041,µS/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,V,00PY001730
BC08NL0001,2000-04-04 12:15:00,nan,6.0,,,1125,DEG C,TEMPERATURE (WATER),TEMPÉRATURE (EAU),P,00PY001730
BC08NL0001,2000-04-04 12:15:00,nan,13.0,0.05,,2074,NTU,TURBIDITY,TURBIDITÉ,V,00PY001730
BC08NL0001,2000-04-18 12:15:00,nan,0.0003,0.0001,,100250,MG/L,ARSENIC TOTAL,ARSENIC TOTAL,P,00PY002033
BC08NL0001,2000-04-18 12:15:00,nan,1.0,1.0,,1094,CFU/100ML,FECAL COLIFORMS,COLIFORMES FÉCAUX,P,00PY002033
BC08NL0001,2000-04-18 12:15:00,nan,0.0006,0.0002,,100228,MG/L,LEAD TOTAL,PLOMB TOTAL,P,00PY002033
BC08NL0001,2000-04-18 12:15:00,nan,101.0,2.0,,2041,µS/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,V,00PY002033
BC08NL0001,2000-04-18 12:15:00,nan,6.0,,,1125,DEG C,TEMPERATURE (WATER),TEMPÉRATURE (EAU),P,00PY002033
BC08NL0001,2000-04-18 12:15:00,nan,5.9,0.05,,2074,NTU,TURBIDITY,TURBIDITÉ,V,00PY002033
BC08NL0001,2000-05-02 12:45:00,nan,0.0004,0.0001,,100250,MG/L,ARSENIC TOTAL,ARSENIC TOTAL,P,00PY002290
BC08NL0001,2000-05-02 12:45:00,<,1.0,1.0,,1094,CFU/100ML,FECAL COLIFORMS,COLIFORMES FÉCAUX,P,00PY002290
BC08NL0001,2000-05-02 12:45:00,nan,0.0006,0.0002,,100228,MG/L,LEAD TOTAL,PLOMB TOTAL,P,00PY002290
BC08NL0001,2000-05-02 12:45:00,nan,77.0,2.0,,2041,µS/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,V,00PY002290
BC08NL0001,2000-05-02 12:45:00,nan,7.0,,,1125,DEG C,TEMPERATURE (WATER),TEMPÉRATURE (EAU),P,00PY002290
BC08NL0001,2000-05-02 12:45:00,nan,5.67,0.05,,2074,NTU,TURBIDITY,TURBIDITÉ,V,00PY002290
BC08NL0001,2000-05-16 10:10:00,nan,0.0004,0.0001,,100250,MG/L,ARSENIC TOTAL,ARSENIC TOTAL,P,00PY002587
BC08NL0001,2000-05-16 10:10:00,nan,11.0,1.0,,1094,CFU/100ML,FECAL COLIFORMS,COLIFORMES FÉCAUX,P,00PY002587
BC08NL0001,2000-05-16 10:10:00,nan,0.0005,0.0002,,100228,MG/L,LEAD TOTAL,PLOMB TOTAL,P,00PY002587
BC08NL0001,2000-05-16 10:10:00,nan,88.0,2.0,,2041,µS/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,V,00PY002587
BC08NL0001,2000-05-16 10:10:00,nan,7.0,,,1125,DEG C,TEMPERATURE (WATER),TEMPÉRATURE (EAU),P,00PY002587
BC08NL0001,2000-05-16 10:10:00,nan,3.5,0.05,,2074,NTU,TURBIDITY,TURBIDITÉ,V,00PY002587
BC08NL0001,2000-05-30 12:15:00,nan,0.0003,0.0001,,100250,MG/L,ARSENIC TOTAL,ARSENIC TOTAL,P,00PY002905
BC08NL0001,2000-05-30 12:15:00,nan,284.0,1.0,,1094,CFU/100ML,FECAL COLIFORMS,COLIFORMES FÉCAUX,P,00PY002905
BC08NL0001,2000-05-30 12:15:00,nan,0.0004,0.0002,,100228,MG/L,LEAD TOTAL,PLOMB TOTAL,P,00PY002905
BC08NL0001,2000-05-30 12:15:00,nan,63.0,2.0,,2041,µS/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,V,00PY002905
BC08NL0001,2000-05-30 12:15:00,nan,8.0,,,1125,DEG C,TEMPERATURE (WATER),TEMPÉRATURE (EAU),P,00PY002905
BC08NL0001,2000-05-30 12:15:00,nan,3.6,0.05,,2074,NTU,TURBIDITY,TURBIDITÉ,V,00PY002905
BC08NL0001,2000-06-13 12:10:00,nan,0.0003,0.0001,,100250,MG/L,ARSENIC TOTAL,ARSENIC TOTAL,P,00PY003306
BC08NL0001,2000-06-13 12:10:00,nan,11.0,1.0,,1094,CFU/100ML,FECAL COLIFORMS,COLIFORMES FÉCAUX,P,00PY003306
BC08NL0001,2000-06-13 12:10:00,<,0.0002,0.0002,,100228,MG/L,LEAD TOTAL,PLOMB TOTAL,P,00PY003306
BC08NL0001,2000-06-13 12:10:00,nan,58.0,2.0,,2041,µS/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,V,00PY003306
BC08NL0001,2000-06-13 12:10:00,nan,8.0,,,1125,DEG C,TEMPERATURE (WATER),TEMPÉRATURE (EAU),P,00PY003306
BC08NL0001,2000-06-13 12:10:00,nan,1.91,0.05,,2074,NTU,TURBIDITY,TURBIDITÉ,V,00PY003306
BC08NL0001,2000-06-27 09:20:00,nan,0.0004,0.0001,,100253,MG/L,ARSENIC DISSOLVED,ARSENIC DISSOUS,P,00PY003671
BC08NL0001,2000-06-27 09:20:00,nan,0.0004,0.0001,,100250,MG/L,ARSENIC TOTAL,ARSENIC TOTAL,P,00PY003671
BC08NL0001,2000-06-27 09:20:00,nan,4.0,1.0,,1094,CFU/100ML,FECAL COLIFORMS,COLIFORMES FÉCAUX,P,00PY003671
BC08NL0001,2000-06-27 09:20:00,nan,0.0003,0.0002,,100228,MG/L,LEAD TOTAL,PLOMB TOTAL,P,00PY003671
BC08NL0001,2000-06-27 09:20:00,nan,62.0,2.0,,2041,µS/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,V,00PY003671
BC08NL0001,2000-06-27 09:20:00,nan,10.0,,,1125,DEG C,TEMPERATURE (WATER),TEMPÉRATURE (EAU),P,00PY003671
BC08NL0001,2000-06-27 09:20:00,nan,2.1,0.05,,2074,NTU,TURBIDITY,TURBIDITÉ,V,00PY003671
BC08NL0001,2000-07-12 08:45:00,nan,8.0,1.0,,1094,CFU/100ML,FECAL COLIFORMS,COLIFORMES FÉCAUX,P,00PY003985
BC08NL0001,2000-07-12 08:45:00,<,0.0002,0.0002,,100228,MG/L,LEAD TOTAL,PLOMB TOTAL,P,00PY003985
BC08NL0001,2000-07-12 08:45:00,nan,12.0,,,1125,DEG C,TEMPERATURE (WATER),TEMPÉRATURE (EAU),P,00PY003985
BC08NL0001,2000-07-12 08:45:00,nan,0.96,0.05,,2074,NTU,TURBIDITY,TURBIDITÉ,V,00PY003985
BC08NL0001,2000-07-26 08:50:00,nan,0.0004,0.0001,,100250,MG/L,ARSENIC TOTAL,ARSENIC TOTAL,P,00PY004310
BC08NL0001,2000-07-26 08:50:00,nan,12.0,1.0,,1094,CFU/100ML,FECAL COLIFORMS,COLIFORMES FÉCAUX,P,00PY004310
BC08NL0001,2000-07-26 08:50:00,<,0.0002,0.0002,,100228,MG/L,LEAD TOTAL,PLOMB TOTAL,P,00PY004310
BC08NL0001,2000-07-26 08:50:00,nan,97.0,2.0,,2041,µS/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,V,00PY004310
BC08NL0001,2000-07-26 08:50:00,nan,13.0,,,1125,DEG C,TEMPERATURE (WATER),TEMPÉRATURE (EAU),P,00PY004310
BC08NL0001,2000-07-26 08:50:00,nan,0.71,0.05,,2074,NTU,TURBIDITY,TURBIDITÉ,V,00PY004310
BC08NL0001,2000-08-08 09:15:00,nan,0.0007,0.0001,,100250,MG/L,ARSENIC TOTAL,ARSENIC TOTAL,P,00PY004614
BC08NL0001,2000-08-08 09:15:00,nan,6.0,1.0,,1094,CFU/100ML,FECAL COLIFORMS,COLIFORMES FÉCAUX,P,00PY004614
BC08NL0001,2000-08-08 09:15:00,<,0.0002,0.0002,,100228,MG/L,LEAD TOTAL,PLOMB TOTAL,P,00PY004614
BC08NL0001,2000-08-08 09:15:00,nan,114.0,2.0,,2041,µS/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,V,00PY004614
BC08NL0001,2000-08-08 09:15:00,nan,15.0,,,1125,DEG C,TEMPERATURE (WATER),TEMPÉRATURE (EAU),P,00PY004614
BC08NL0001,2000-08-08 09:15:00,nan,1.03,0.05,,2074,NTU,TURBIDITY,TURBIDITÉ,V,00PY004614
BC08NL0001,2000-08-22 08:35:00,nan,0.0003,0.0001,,100250,MG/L,ARSENIC TOTAL,ARSENIC TOTAL,P,00PY004952
BC08NL0001,2000-08-22 08:35:00,nan,4.0,1.0,,1094,CFU/100ML,FECAL COLIFORMS,COLIFORMES FÉCAUX,P,00PY004952
BC08NL0001,2000-08-22 08:35:00,<,0.0002,0.0002,,100228,MG/L,LEAD TOTAL,PLOMB TOTAL,P,00PY004952
BC08NL0001,2000-08-22 08:35:00,nan,146.0,2.0,,2041,µS/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,V,00PY004952
BC08NL0001,2000-08-22 08:35:00,nan,10.0,,,1125,DEG C,TEMPERATURE (WATER),TEMPÉRATURE (EAU),P,00PY004952
BC08NL0001,2000-08-22 08:35:00,nan,0.32,0.05,,2074,NTU,TURBIDITY,TURBIDITÉ,V,00PY004952
BC08NL0001,2000-08-30 11:30:00,nan,0.0005,0.0001,,100250,MG/L,ARSENIC TOTAL,ARSENIC TOTAL,P,00PY005223
BC08NL0001,2000-08-30 11:30:00,nan,0.0003,0.0002,,100228,MG/L,LEAD TOTAL,PLOMB TOTAL,P,00PY005223
BC08NL0001,2000-08-30 11:30:00,nan,140.0,2.0,,2041,µS/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,V,00PY005223
BC08NL0001,2000-08-30 11:30:00,nan,15.0,,,1125,DEG C,TEMPERATURE (WATER),TEMPÉRATURE (EAU),P,00PY005223
BC08NL0001,2000-08-30 11:30:00,nan,0.22,0.05,,2074,NTU,TURBIDITY,TURBIDITÉ,V,00PY005223
BC08NL0001,2000-09-05 08:30:00,nan,0.0004,0.0001,,100250,MG/L,ARSENIC TOTAL,ARSENIC TOTAL,P,00PY005335
BC08NL0001,2000-09-05 08:30:00,nan,2.0,1.0,,1094,CFU/100ML,FECAL COLIFORMS,COLIFORMES FÉCAUX,P,00PY005335
BC08NL0001,2000-09-05 08:30:00,<,0.0002,0.0002,,100228,MG/L,LEAD TOTAL,PLOMB TOTAL,P,00PY005335
BC08NL0001,2000-09-05 08:30:00,nan,154.0,2.0,,2041,µS/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,V,00PY005335
BC08NL0001,2000-09-05 08:30:00,nan,7.0,,,1125,DEG C,TEMPERATURE (WATER),TEMPÉRATURE (EAU),P,00PY005335
BC08NL0001,2000-09-05 08:30:00,nan,0.44,0.05,,2074,NTU,TURBIDITY,TURBIDITÉ,V,00PY005335
BC08NL0001,2000-09-19 09:15:00,nan,0.0004,0.0001,,100250,MG/L,ARSENIC TOTAL,ARSENIC TOTAL,P,00PY005647
BC08NL0001,2000-09-19 09:15:00,nan,5.0,1.0,,1094,CFU/100ML,FECAL COLIFORMS,COLIFORMES FÉCAUX,P,00PY005647
BC08NL0001,2000-09-19 09:15:00,<,0.0002,0.0002,,100228,MG/L,LEAD TOTAL,PLOMB TOTAL,P,00PY005647
BC08NL0001,2000-09-19 09:15:00,nan,156.0,2.0,,2041,µS/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,V,00PY005647
BC08NL0001,2000-09-19 09:15:00,nan,11.0,,,1125,DEG C,TEMPERATURE (WATER),TEMPÉRATURE (EAU),P,00PY005647
BC08NL0001,2000-09-19 09:15:00,nan,0.34,0.05,,2074,NTU,TURBIDITY,TURBIDITÉ,V,00PY005647
BC08NL0001,2000-10-03 08:40:00,nan,0.0004,0.0001,,100250,MG/L,ARSENIC TOTAL,ARSENIC TOTAL,P,00PY006093
BC08NL0001,2000-10-03 08:40:00,nan,5.0,1.0,,1094,CFU/100ML,FECAL COLIFORMS,COLIFORMES FÉCAUX,P,00PY006093
BC08NL0001,2000-10-03 08:40:00,<,0.0002,0.0002,,100228,MG/L,LEAD TOTAL,PLOMB TOTAL,P,00PY006093
BC08NL0001,2000-10-03 08:40:00,nan,148.0,2.0,,2041,µS/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,V,00PY006093
BC08NL0001,2000-10-03 08:40:00,nan,5.0,,,1125,DEG C,TEMPERATURE (WATER),TEMPÉRATURE (EAU),P,00PY006093
BC08NL0001,2000-10-03 08:40:00,nan,0.32,0.05,,2074,NTU,TURBIDITY,TURBIDITÉ,V,00PY006093
BC08NL0001,2000-10-17 12:05:00,nan,0.0003,0.0001,,100250,MG/L,ARSENIC TOTAL,ARSENIC TOTAL,P,00PY006512
BC08NL0001,2000-10-17 12:05:00,nan,1.0,1.0,,1094,CFU/100ML,FECAL COLIFORMS,COLIFORMES FÉCAUX,P,00PY006512
BC08NL0001,2000-10-17 12:05:00,<,0.0002,0.0002,,100228,MG/L,LEAD TOTAL,PLOMB TOTAL,P,00PY006512
BC08NL0001,2000-10-17 12:05:00,nan,167.0,2.0,,2041,µS/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,V,00PY006512
BC08NL0001,2000-10-17 12:05:00,nan,6.0,,,1125,DEG C,TEMPERATURE (WATER),TEMPÉRATURE (EAU),P,00PY006512
BC08NL0001,2000-10-17 12:05:00,nan,0.38,0.05,,2074,NTU,TURBIDITY,TURBIDITÉ,V,00PY006512
BC08NL0001,2000-10-31 08:55:00,nan,0.0004,0.0001,,100250,MG/L,ARSENIC TOTAL,ARSENIC TOTAL,P,00PY006917
BC08NL0001,2000-10-31 08:55:00,nan,2.0,1.0,,1094,CFU/100ML,FECAL COLIFORMS,COLIFORMES FÉCAUX,P,00PY006917
BC08NL0001,2000-10-31 08:55:00,<,0.0002,0.0002,,100228,MG/L,LEAD TOTAL,PLOMB TOTAL,P,00PY006917
BC08NL0001,2000-10-31 08:55:00,nan,153.0,2.0,,2041,µS/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,V,00PY006917
BC08NL0001,2000-10-31 08:55:00,nan,2.0,,,1125,DEG C,TEMPERATURE (WATER),TEMPÉRATURE (EAU),P,00PY006917
BC08NL0001,2000-10-31 08:55:00,nan,0.32,0.05,,2074,NTU,TURBIDITY,TURBIDITÉ,V,00PY006917
BC08NL0001,2000-11-14 12:15:00,nan,0.0004,0.0001,,100250,MG/L,ARSENIC TOTAL,ARSENIC TOTAL,P,00PY007225
BC08NL0001,2000-11-14 12:15:00,<,1.0,1.0,,1094,CFU/100ML,FECAL COLIFORMS,COLIFORMES FÉCAUX,P,00PY007225
BC08NL0001,2000-11-14 12:15:00,<,0.0002,0.0002,,100228,MG/L,LEAD TOTAL,PLOMB TOTAL,P,00PY007225
BC08NL0001,2000-11-14 12:15:00,nan,168.0,2.0,,2041,µS/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,V,00PY007225
BC08NL0001,2000-11-14 12:15:00,nan,0.0,,,1125,DEG C,TEMPERATURE (WATER),TEMPÉRATURE (EAU),P,00PY007225
BC08NL0001,2000-11-14 12:15:00,nan,0.07,0.05,,2074,NTU,TURBIDITY,TURBIDITÉ,V,00PY007225
BC08NL0001,2000-11-28 08:35:00,nan,0.0003,0.0001,,100250,MG/L,ARSENIC TOTAL,ARSENIC TOTAL,P,00PY007564
BC08NL0001,2000-11-28 08:35:00,<,1.0,1.0,,1094,CFU/100ML,FECAL COLIFORMS,COLIFORMES FÉCAUX,P,00PY007564
BC08NL0001,2000-11-28 08:35:00,<,0.0002,0.0002,,100228,MG/L,LEAD TOTAL,PLOMB TOTAL,P,00PY007564
BC08NL0001,2000-11-28 08:35:00,nan,177.0,2.0,,2041,µS/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,V,00PY007564
BC08NL0001,2000-11-28 08:35:00,nan,0.0,,,1125,DEG C,TEMPERATURE (WATER),TEMPÉRATURE (EAU),P,00PY007564
BC08NL0001,2000-11-28 08:35:00,nan,0.05,0.05,,2074,NTU,TURBIDITY,TURBIDITÉ,V,00PY007564
BC08NL0001,2000-12-13 08:05:00,nan,0.0001,0.0001,,100250,MG/L,ARSENIC TOTAL,ARSENIC TOTAL,P,00PY008053
BC08NL0001,2000-12-13 08:05:00,nan,3.0,1.0,,1094,CFU/100ML,FECAL COLIFORMS,COLIFORMES FÉCAUX,P,00PY008053
BC08NL0001,2000-12-13 08:05:00,<,0.0002,0.0002,,100228,MG/L,LEAD TOTAL,PLOMB TOTAL,P,00PY008053
BC08NL0001,2000-12-13 08:05:00,nan,226.0,2.0,,2041,µS/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,V,00PY008053
BC08NL0001,2000-12-13 08:05:00,nan,0.0,,,1125,DEG C,TEMPERATURE (WATER),TEMPÉRATURE (EAU),P,00PY008053
BC08NL0001,2000-12-13 08:05:00,nan,0.05,0.05,,2074,NTU,TURBIDITY,TURBIDITÉ,V,00PY008053
BC08NL0001,2000-12-27 10:30:00,nan,0.0003,0.0001,,100250,MG/L,ARSENIC TOTAL,ARSENIC TOTAL,P,00PY008193
BC08NL0001,2000-12-27 10:30:00,<,1.0,1.0,,1094,CFU/100ML,FECAL COLIFORMS,COLIFORMES FÉCAUX,P,00PY008193
BC08NL0001,2000-12-27 10:30:00,nan,0.0002,0.0002,,100228,MG/L,LEAD TOTAL,PLOMB TOTAL,P,00PY008193
BC08NL0001,2000-12-27 10:30:00,nan,164.0,2.0,,2041,µS/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,V,00PY008193
BC08NL0001,2000-12-27 10:30:00,nan,0.0,,,1125,DEG C,TEMPERATURE (WATER),TEMPÉRATURE (EAU),P,00PY008193
BC08NL0001,2000-12-27 10:30:00,nan,0.08,0.05,,2074,NTU,TURBIDITY,TURBIDITÉ,V,00PY008193
BC08NL0001,2001-01-09 10:15:00,nan,0.0003,0.0001,,100250,MG/L,ARSENIC TOTAL,ARSENIC TOTAL,P,01PY000126
BC08NL0001,2001-01-09 10:15:00,<,1.0,1.0,,1094,CFU/100ML,FECAL COLIFORMS,COLIFORMES FÉCAUX,P,01PY000126
BC08NL0001,2001-01-09 10:15:00,nan,0.0004,0.0002,,100228,MG/L,LEAD TOTAL,PLOMB TOTAL,P,01PY000126
BC08NL0001,2001-01-09 10:15:00,nan,165.0,2.0,,2041,µS/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,V,01PY000126
BC08NL0001,2001-01-09 10:15:00,nan,0.0,,,1125,DEG C,TEMPERATURE (WATER),TEMPÉRATURE (EAU),P,01PY000126
BC08NL0001,2001-01-09 10:15:00,nan,0.36,0.05,,2074,NTU,TURBIDITY,TURBIDITÉ,V,01PY000126
BC08NL0001,2001-01-23 08:09:00,nan,0.0003,0.0001,,100250,MG/L,ARSENIC TOTAL,ARSENIC TOTAL,P,01PY000301
BC08NL0001,2001-01-23 08:09:00,<,1.0,1.0,,1094,CFU/100ML,FECAL COLIFORMS,COLIFORMES FÉCAUX,P,01PY000301
BC08NL0001,2001-01-23 08:09:00,<,0.0002,0.0002,,100228,MG/L,LEAD TOTAL,PLOMB TOTAL,P,01PY000301
BC08NL0001,2001-01-23 08:09:00,nan,173.0,2.0,,2041,µS/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,V,01PY000301
BC08NL0001,2001-01-23 08:09:00,nan,0.0,,,1125,DEG C,TEMPERATURE (WATER),TEMPÉRATURE (EAU),P,01PY000301
BC08NL0001,2001-01-23 08:09:00,nan,0.43,0.05,,2074,NTU,TURBIDITY,TURBIDITÉ,V,01PY000301
BC08NL0001,2001-02-06 09:15:00,nan,0.0003,0.0001,,100250,MG/L,ARSENIC TOTAL,ARSENIC TOTAL,P,01PY000540
BC08NL0001,2001-02-06 09:15:00,<,1.0,1.0,,1094,CFU/100ML,FECAL COLIFORMS,COLIFORMES FÉCAUX,P,01PY000540
BC08NL0001,2001-02-06 09:15:00,<,0.0002,0.0002,,100228,MG/L,LEAD TOTAL,PLOMB TOTAL,P,01PY000540
BC08NL0001,2001-02-06 09:15:00,nan,193.0,2.0,,2041,µS/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,V,01PY000540
BC08NL0001,2001-02-06 09:15:00,nan,0.0,,,1125,DEG C,TEMPERATURE (WATER),TEMPÉRATURE (EAU),P,01PY000540
BC08NL0001,2001-02-06 09:15:00,nan,0.45,0.05,,2074,NTU,TURBIDITY,TURBIDITÉ,V,01PY000540
BC08NL0001,2001-02-13 08:35:00,nan,0.0003,0.0001,,100250,MG/L,ARSENIC TOTAL,ARSENIC TOTAL,P,01PY000686
BC08NL0001,2001-02-13 08:35:00,<,1.0,1.0,,1094,CFU/100ML,FECAL COLIFORMS,COLIFORMES FÉCAUX,P,01PY000686
BC08NL0001,2001-02-13 08:35:00,<,0.0002,0.0002,,100228,MG/L,LEAD TOTAL,PLOMB TOTAL,P,01PY000686
BC08NL0001,2001-02-13 08:35:00,nan,184.0,2.0,,2041,µS/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,V,01PY000686
BC08NL0001,2001-02-13 08:35:00,nan,0.0,,,1125,DEG C,TEMPERATURE (WATER),TEMPÉRATURE (EAU),P,01PY000686
BC08NL0001,2001-02-13 08:35:00,nan,0.22,0.05,,2074,NTU,TURBIDITY,TURBIDITÉ,V,01PY000686
BC08NL0001,2001-02-20 09:15:00,nan,0.0002,0.0001,,100250,MG/L,ARSENIC TOTAL,ARSENIC TOTAL,P,01PY000779
BC08NL0001,2001-02-20 09:15:00,<,1.0,1.0,,1094,CFU/100ML,FECAL COLIFORMS,COLIFORMES FÉCAUX,P,01PY000779
